executions,shape,example
77,"WITH cte AS (SELECT DATE_FORMAT(cph.date, ?) AS monthyear, CONCAT(cph.providerid, ?, cph.orderid) AS providerorderid, cph.orderstatus, cph.orderstatusreason FROM main.prod_homecare_acreporting_reporting.cartproviderhistory AS cph WHERE (cph.date = LAST_DAY(cph.date) OR cph.date = CAST(CURRENT_TIMESTAMP() AS DATE)) AND cph.date >= ?) SELECT cte.monthyear, cte.providerorderid, cte.orderstatus, cte.orderstatusreason, CASE WHEN (cte.orderstatusreason = ? OR cte.orderstatus IN (?)) THEN ? WHEN cte.orderstatus = ? THEN ? WHEN cte.orderstatus = ? THEN ? ELSE ? END AS status FROM cte","select `MonthYear`, `ProviderOrderID`, `OrderStatus`, `OrderStatusReason`, `Status` from ( WITH CTE AS( Select date_format(cph.date, 'yyyyMM') MonthYear ,concat(cph.providerid, '-', cph.orderid) ProviderOrderID ,cph.orderstatus ,cph.orderstatusreason FROM main.prod_homecare_acreporting_reporting.car ..."
77,"SELECT DISTINCT c.firstname, c.lastname, c.email, cph.providerid FROM prod_homecare_actransactional_organization.providercontact AS pc LEFT JOIN prod_homecare_actransactional_organization.contact AS c ON c.contactid = pc.contactid LEFT JOIN prod_homecare_actransactional_organization.provider AS p ON p.providerid = pc.providerid LEFT JOIN prod_homecare_actransactional_organization.providercontactcontacttype AS pcct ON pcct.providercontactid = pc.providercontactid LEFT JOIN prod_homecare_actransactional_organization.contacttype AS ct ON ct.contacttypeid = pcct.contacttypeid LEFT JOIN prod_homeca ...","select `FirstName`, `LastName`, `Email`, `ProviderID` from ( SELECT DISTINCT --p.Name AS 'Provider Name', c.FirstName ,c.LastName ,c.Email ,cph.ProviderID --,p.ProviderOrganizationID --,c.Phone --,ct.Name --,c.Title FROM prod_homecare_actransactional_organization.providercontact pc LEFT JOIN prod_ho ..."
74,"WITH cte AS (SELECT cph.providerid, p.name AS providername, cph.orderid, ost.name AS orderstatus, osrt.name AS orderstatusreason, MIN(cph.date) AS firstactive, MAX(cph.date) AS lastactive FROM main.prod_homecare_acreporting_reporting.cartproviderhistory AS cph LEFT JOIN main.prod_homecare_actransactional_organization.provider AS p ON p.providerid = cph.providerid LEFT JOIN main.prod_homecare_actransactional_ordermanagement.order AS o ON o.orderid = cph.orderid LEFT JOIN main.prod_homecare_actransactional_ordermanagement.orderstatusreasontype AS osrt ON osrt.orderstatusreasontypeid = o.ordersta ...","select `ProviderID`, `ProviderName`, `OrderID`, `FirstActive`, `LastActive`, `OrderStatus`, `OrderStatusReason`, `ProviderOrderID`, `Status`, `Org`, `DaysActive` from ( WITH CTE1 AS( WITH CTE AS( Select cph.providerid ,p.name ProviderName ,cph.orderid ,ost.name OrderStatus ,osrt.name OrderStatusReas ..."
71,"SELECT providerid, p.name, rate, providerstatustypeid, billingtypeid, orgid, postalcodeid, p.deleted, p.modifiedon, p.modifiedby, p.createdon, p.createdby, po.name AS organization FROM prod_homecare_actransactional_organization.provider AS p LEFT JOIN prod_homecare_actransactional_organization.providerorganization AS po ON po.providerorganizationid = p.providerorganizationid","select `ProviderID`, `Name`, `Rate`, `ProviderStatusTypeID`, `BillingTypeID`, `OrgID`, `PostalCodeID`, `Deleted`, `ModifiedOn`, `ModifiedBy`, `CreatedOn`, `CreatedBy`, `Organization` from ( SELECT ProviderID ,p.Name ,Rate ,ProviderStatusTypeID ,BillingTypeID ,OrgID ,PostalCodeID ,p.Deleted ,p.Modifi ..."
71,SELECT * FROM prod_homecare_actransactional_organization.providerorganization,"select `providerorganizationid`, `createdby`, `modifiedon`, `isvip`, `createdon`, `deleted`, `modifiedby`, `notes`, `logo`, `name`, `_fivetran_deleted`, `_fivetran_synced`, `sfrecordid` from ( SELECT * FROM prod_homecare_actransactional_organization.providerorganization ) as `_`"
69,"WITH cte AS (SELECT cph.providerid, cph.orderid, MAX(cph.date) AS lastactive, MIN(cph.date) AS firstactive FROM main.prod_homecare_acreporting_reporting.cartproviderhistory AS cph WHERE (cph.orderstatusreason = ? OR cph.orderstatus IN (?)) AND cph.contracttype = ? GROUP BY ?, ?), ctea AS (SELECT DISTINCT cph.providerid, cph.orderid, cph.orderstatus, cph.orderstatusreason FROM main.prod_homecare_acreporting_reporting.cartproviderhistory AS cph WHERE date = CAST(CURRENT_TIMESTAMP() AS DATE)), cteb1 AS (SELECT r.region_id AS regionid, r.region_name AS regionname, zr.zip5 FROM main.prod_ygl_apfm.z ...","select * from ( WITH CTE AS( Select cph.providerid ,cph.orderid ,max(cph.date) LastActive ,min(cph.date) FirstActive FROM main.prod_homecare_acreporting_reporting.cartproviderhistory cph WHERE (cph.orderstatusreason = 'Monthly Cap Reached' or cph.orderstatus in ('Active', 'Paused')) and cph.contract ..."
68,"WITH cte AS (SELECT cph.providerid, cph.orderid, MIN(cph.date) AS firstactivedate, MAX(cph.date) AS lastactivedate FROM main.prod_homecare_acreporting_reporting.cartproviderhistory AS cph WHERE (cph.orderstatusreason = ? OR cph.orderstatus IN (?)) GROUP BY ?, ?), cte2 AS (SELECT cte.providerid, cte.orderid, cph.orderstatus, cph.orderstatusreason, firstactivedate, lastactivedate FROM cte LEFT JOIN main.prod_homecare_acreporting_reporting.cartproviderhistory AS cph ON cph.providerid = cte.providerid AND cph.orderid = cte.orderid WHERE cph.date = CAST(CURRENT_TIMESTAMP() AS DATE)), cte1 AS (SELEC ...","select * from ( WITH CTE1 AS( WITH CTE AS ( Select cph.providerid ,cph.orderid ,min(cph.date) FirstActiveDate ,max(cph.date) LastActiveDate FROM main.prod_homecare_acreporting_reporting.cartproviderhistory cph WHERE (cph.orderstatusreason = 'Monthly Cap Reached' or cph.orderstatus in ('Active', 'Pau ..."
67,"WITH cte AS (SELECT cph.providerid, cph.orderid, MAX(cph.date) AS lastactive, MIN(cph.date) AS firstactive FROM main.prod_homecare_acreporting_reporting.cartproviderhistory AS cph WHERE (cph.orderstatusreason = ? OR cph.orderstatus IN (?)) AND cph.contracttype = ? GROUP BY ?, ?), ctea AS (SELECT DISTINCT cph.providerid, cph.orderid, cph.orderstatus, cph.orderstatusreason FROM main.prod_homecare_acreporting_reporting.cartproviderhistory AS cph WHERE date = CAST(CURRENT_TIMESTAMP() AS DATE)), cteb1 AS (SELECT r.region_id AS regionid, r.region_name AS regionname, zr.zip5 FROM main.prod_ygl_apfm.z ...","select `ProviderID`, `OrderID`, `ProviderOrders`, `FirstActive`, `LastActive`, `ProviderName`, `OrgName`, `Org`, `OrderStatus`, `OrderStatusReason`, `ProviderCoverage`, `DaysActive`, `Status` from ( WITH CTE AS( Select cph.providerid ,cph.orderid ,max(cph.date) LastActive ,min(cph.date) FirstActive  ..."
64,"WITH cte AS (SELECT cph.providerid, cph.orderid, MIN(cph.date) AS firstactivedate, MAX(cph.date) AS lastactivedate FROM main.prod_homecare_acreporting_reporting.cartproviderhistory AS cph WHERE (cph.orderstatusreason = ? OR cph.orderstatus IN (?)) GROUP BY ?, ?), cte2 AS (SELECT cte.providerid, cte.orderid, cph.orderstatus, cph.orderstatusreason, firstactivedate, lastactivedate FROM cte LEFT JOIN main.prod_homecare_acreporting_reporting.cartproviderhistory AS cph ON cph.providerid = cte.providerid AND cph.orderid = cte.orderid WHERE cph.date = CAST(CURRENT_TIMESTAMP() AS DATE)), cte1 AS (SELEC ...","select `ProviderID`, `ProviderName`, `OrderID`, `FirstActiveDate`, `LastActiveDate`, `OrderCreateDate`, `CurrentOrderStatus`, `CurrentOrderStatusReasonType`, `HCAM`, `ProviderOrders`, `Status` from ( WITH CTE1 AS( WITH CTE AS ( Select cph.providerid ,cph.orderid ,min(cph.date) FirstActiveDate ,max(c ..."
58,SELECT * FROM prod_homecare_actransactional_homecare.referral,select * from ( Select * FROM prod_homecare_actransactional_homecare.referral ) as `_` limit 0
58,"SELECT calllogid, callid, timestamp, agent, agentname, agentgroup, skill, campaign, calltype, disposition, dispositionpath, calltime, talktime, dnis, handletime, consulttime, totalqueuetime, manualtime, dialtime, aftercallworktime, holdtime, ringtime FROM prod_homecare_acreporting_import.five9dailycalllogs WHERE campaign IN (?) AND dnis <> ? ORDER BY dnis","select `CallLogId`, `CallId`, `Timestamp`, `Agent`, `AgentName`, `AgentGroup`, `Skill`, `Campaign`, `CallType`, `Disposition`, `DispositionPath`, `CallTime`, `TalkTime`, `DNIS`, `HandleTime`, `ConsultTime`, `TotalQueueTime`, `ManualTime`, `DialTime`, `AfterCallWorkTime`, `HoldTime`, `RingTime` from  ..."
58,"SELECT r.referralid, r.hmcleadid, hmcr.hmcrequestid, r.createdon, r.billingtypeid, r.orderid, o.name AS ordername, r.referredon, r.returnapproved, r.activatedon, r.providerid, p.name AS providername, r.digitaljourney FROM prod_homecare_actransactional_homecare.referral AS r LEFT JOIN prod_homecare_actransactional_organization.provider AS p ON p.providerid = r.providerid LEFT JOIN prod_homecare_actransactional_ordermanagement.order AS o ON o.orderid = r.orderid LEFT JOIN prod_homecare_insite_directory.hmclead AS hmcl ON hmcl.hmcleadid = r.hmcleadid LEFT JOIN prod_homecare_insite_directory.hmcre ...","select `referralid`, `hmcleadid`, `hmcrequestid`, `createdon`, `billingtypeid`, `orderid`, `OrderName`, `referredon`, `returnapproved`, `activatedon`, `providerid`, `ProviderName`, `digitaljourney` from ( Select r.referralid ,r.hmcleadid ,hmcr.hmcrequestid ,r.createdon ,r.billingtypeid ,r.orderid ,o ..."
58,SELECT * FROM prod_homecare_actransactional_organization.provider,select * from ( Select * FROM prod_homecare_actransactional_organization.provider ) as `_` limit 0
58,"SELECT hmcr.hmcrequestid, hmcr.hmcprospectid, hmcr.requeststatusid, hmcr.createdate AS leadcreatedate, CASE WHEN tz.timezoneid = ? THEN CONVERT_TIMEZONE(?, ?, CAST(hmcr.createdate AS TIMESTAMP_NTZ)) WHEN tz.timezoneid = ? THEN CONVERT_TIMEZONE(?, ?, CAST(hmcr.createdate AS TIMESTAMP_NTZ)) WHEN tz.timezoneid = ? THEN CONVERT_TIMEZONE(?, ?, CAST(hmcr.createdate AS TIMESTAMP_NTZ)) WHEN tz.timezoneid = ? THEN CONVERT_TIMEZONE(?, ?, CAST(hmcr.createdate AS TIMESTAMP_NTZ)) WHEN tz.timezoneid = ? THEN CONVERT_TIMEZONE(?, ?, CAST(hmcr.createdate AS TIMESTAMP_NTZ)) WHEN tz.timezoneid = ? THEN CONVERT_T ...","select * from ( Select hmcr.hmcrequestid ,hmcr.hmcprospectid ,hmcr.requeststatusid ,hmcr.createdate LeadCreateDate ,CASE WHEN tz.timezoneid = 4 then convert_timezone('America/Detroit','Pacific/Honolulu',CAST(hmcr.createdate as TIMESTAMP_NTZ)) WHEN tz.timezoneid = 6 then convert_timezone('America/Det ..."
58,SELECT * FROM prod_homecare_actransactional_homecare.lead,select * from ( Select * FROM prod_homecare_actransactional_homecare.lead ) as `_` limit 0
49,"WITH cte AS (SELECT hmcr.hmcrequestid, hmcr.hmcprospectid, postalcode, CASE WHEN hmcr.customflow = ? THEN ? ELSE ? END AS funnel, hmcr.createdate, hmcr.requeststatusid, hmcr.requeststatuscode, CASE WHEN hmcr.affiliateid = ? THEN ? WHEN hmcr.affiliateid = ? THEN ? WHEN hmcr.affiliateid IN (?) THEN ? WHEN hmcr.affiliateid = ? THEN ? WHEN hmcr.affiliateid = ? THEN ? WHEN hmcr.affiliateid IN (?) THEN ? WHEN hmcr.affiliateid IN (?) THEN ? WHEN hmcr.url LIKE ? OR hmcr.url LIKE ? OR hmcr.url LIKE ? THEN ? WHEN hmcr.url LIKE ? OR hmcr.affiliateid = ? THEN ? WHEN hmcr.affiliateid IN (?) OR hmcr.url LIK ...","select * from ( WITH CTE2 AS ( WITH CTE1 AS ( WITH CTE AS ( SELECT hmcr.hmcrequestid ,hmcr.hmcprospectid ,postalcode ,CASE WHEN hmcr.customflow = 1 THEN 'NFE' ELSE 'OFE' END as Funnel ,hmcr.createdate ,HMCR.RequestStatusId ,hmcr.requeststatuscode ,CASE WHEN hmcr.affiliateid =140 then ""Grace"" WHEN hm ..."
48,"WITH cte AS (SELECT hmcr.hmcrequestid, hmcr.hmcprospectid, postalcode, CASE WHEN hmcr.customflow = ? THEN ? ELSE ? END AS funnel, hmcr.createdate, hmcr.requeststatusid, hmcr.requeststatuscode, CASE WHEN hmcr.affiliateid IN (?) THEN ? WHEN hmcr.affiliateid = ? THEN ? WHEN hmcr.affiliateid IN (?) THEN ? WHEN hmcr.affiliateid = ? THEN ? WHEN hmcr.affiliateid = ? THEN ? WHEN hmcr.affiliateid IN (?) THEN ? WHEN hmcr.affiliateid IN (?) THEN ? WHEN hmcr.url LIKE ? OR hmcr.url LIKE ? OR hmcr.url LIKE ? THEN ? WHEN hmcr.url LIKE ? OR hmcr.affiliateid = ? THEN ? WHEN hmcr.affiliateid IN (?) OR hmcr.url  ...","select * from ( WITH CTE2 AS ( WITH CTE1 AS ( WITH CTE AS ( SELECT hmcr.hmcrequestid ,hmcr.hmcprospectid ,postalcode ,CASE WHEN hmcr.customflow = 1 THEN 'NFE' ELSE 'OFE' END as Funnel ,hmcr.createdate ,HMCR.RequestStatusId ,hmcr.requeststatuscode ,CASE WHEN hmcr.affiliateid in (140,141) then ""Grace"" ..."
48,"SELECT * FROM (SELECT ref.providerid, p.name AS providername, ref.orderid, ref.referralid, CAST(ref.createdon AS DATE) AS referraldate, CAST(ref.activatedon AS DATE) AS activatedondate, hcc.amount, CASE WHEN htr.hottransferresponseid = ? THEN ? ELSE ? END AS hottransferred, CASE WHEN ref.returnapproved = TRUE THEN ? ELSE ? END AS returns, hcc.iscredit FROM main.prod_homecare_actransactional_homecare.referral AS ref LEFT JOIN main.prod_homecare_actransactional_billing.homecarecharge AS hcc ON hcc.referralid = ref.referralid LEFT JOIN main.prod_homecare_actransactional_homecare.hottransferresult ...","select * from ( Select ref.providerid ,p.name ProviderName ,ref.orderid ,ref.referralid ,date(ref.createdon) ReferralDate ,date(ref.activatedon) ActivatedOnDate ,hcc.amount ,CASE WHEN htr.hottransferresponseid = 1 then ""Hot Transferred"" else ""Not Hot Transferred"" end HotTransferred ,case when ref.re ..."
47,"WITH cte AS (SELECT DISTINCT hmcr.hmcrequestid, hmcr.hmcprospectid, hmcr.postalcode, hmcr.affiliateid, hmcr.affiliateinquiryid, apfm.lt_form_submit_channel, CASE WHEN hmcr.customflow = ? THEN ? ELSE ? END AS flow, CASE WHEN hmcr.affiliateid IN (?) THEN ? WHEN hmcr.affiliateid = ? THEN ? WHEN hmcr.affiliateid IN (?) THEN ? WHEN hmcr.affiliateid = ? THEN ? WHEN hmcr.affiliateid = ? THEN ? WHEN hmcr.affiliateid IN (?) THEN ? WHEN hmcr.affiliateid IN (?) THEN ? WHEN hmcr.url LIKE ? OR hmcr.url LIKE ? OR hmcr.url LIKE ? THEN ? WHEN hmcr.url LIKE ? OR hmcr.affiliateid = ? THEN ? WHEN hmcr.affiliatei ...","select * from ( WITH CTE3 AS (WITH CTE2 AS (WITH CTE AS (SELECT distinct hmcr.HMCRequestID ,hmcr.HMCProspectID ,hmcr.postalcode ,hmcr.affiliateid ,hmcr.affiliateinquiryid ,apfm.lt_form_submit_channel ,CASE WHEN hmcr.customflow =1 then 'NFE' ELSE 'OFE' END as Flow ,CASE WHEN hmcr.affiliateid in (140, ..."
44,"WITH cte AS (SELECT DISTINCT hmcr.hmcrequestid, hmcr.hmcprospectid, hmcr.postalcode, hmcr.affiliateid, hmcr.affiliateinquiryid, apfm.lt_form_submit_channel, CASE WHEN hmcr.customflow = ? THEN ? ELSE ? END AS flow, CASE WHEN hmcr.affiliateid IN (?) THEN ? WHEN hmcr.affiliateid = ? THEN ? WHEN hmcr.affiliateid IN (?) THEN ? WHEN hmcr.affiliateid = ? THEN ? WHEN hmcr.affiliateid = ? THEN ? WHEN hmcr.affiliateid IN (?) THEN ? WHEN hmcr.affiliateid IN (?) THEN ? WHEN hmcr.url LIKE ? OR hmcr.url LIKE ? OR hmcr.url LIKE ? THEN ? WHEN hmcr.url LIKE ? OR hmcr.affiliateid = ? THEN ? WHEN hmcr.affiliatei ...","select `HMCRequestID`, `HMCProspectID`, `Flow`, `lastoutcomeid`, `affiliateID`, `Channel`, `IsDJ`, `DJStep`, `djstepid`, `DJType`, `Source`, `formname`, `TimeID`, `SiteSection`, `SEMForm`, `EmailType`, `RequestDateTime`, `RequestStatusID`, `Lead`, `LSTF`, `RL`, `CampaignID`, `CampaignName`, case whe ..."
44,"WITH cte AS (SELECT hmcr.hmcrequestid, hmcr.hmcprospectid, postalcode, CASE WHEN hmcr.customflow = ? THEN ? ELSE ? END AS funnel, hmcr.createdate, hmcr.requeststatusid, hmcr.requeststatuscode, CASE WHEN hmcr.affiliateid = ? THEN ? WHEN hmcr.affiliateid = ? THEN ? WHEN hmcr.affiliateid IN (?) THEN ? WHEN hmcr.affiliateid = ? THEN ? WHEN hmcr.affiliateid = ? THEN ? WHEN hmcr.affiliateid IN (?) THEN ? WHEN hmcr.affiliateid IN (?) THEN ? WHEN hmcr.url LIKE ? OR hmcr.url LIKE ? OR hmcr.url LIKE ? THEN ? WHEN hmcr.url LIKE ? OR hmcr.affiliateid = ? THEN ? WHEN hmcr.affiliateid IN (?) OR hmcr.url LIK ...","select `hmcrequestid`, `Funnel`, `createdate`, `RequestStatusId`, `AdjChannel`, `ScreeningDate`, `userid`, `outcomeid`, `ISDJ`, `DJStep`, `DJType`, `SourceP` from ( WITH CTE2 AS ( WITH CTE1 AS ( WITH CTE AS ( SELECT hmcr.hmcrequestid ,hmcr.hmcprospectid ,postalcode ,CASE WHEN hmcr.customflow = 1 THE ..."
44,"SELECT ref.providerid, p.name AS providername, ref.orderid, ref.referralid, CAST(ref.createdon AS DATE) AS referraldate, CAST(ref.activatedon AS DATE) AS activatedondate, hcc.amount, CASE WHEN htr.hottransferresponseid = ? THEN ? ELSE ? END AS hottransferred, CASE WHEN ref.returnapproved = TRUE THEN ? ELSE ? END AS returns, hcc.iscredit FROM main.prod_homecare_actransactional_homecare.referral AS ref LEFT JOIN main.prod_homecare_actransactional_billing.homecarecharge AS hcc ON hcc.referralid = ref.referralid LEFT JOIN main.prod_homecare_actransactional_homecare.hottransferresult AS htr ON htr. ...","select `providerid`, `ProviderName`, `orderid`, `referralid`, `ReferralDate`, `ActivatedOnDate`, `amount`, `HotTransferred`, `Returns`, `iscredit` from ( Select ref.providerid ,p.name ProviderName ,ref.orderid ,ref.referralid ,date(ref.createdon) ReferralDate ,date(ref.activatedon) ActivatedOnDate , ..."
43,"SELECT * FROM (SELECT DISTINCT r.referralid, r.leadid, l.hmcprospectid, hmcr.hmcrequestid, l.externalidentifier AS ygl_lead_id, r.providerid, r.billingtypeid, referralstatustypeid, referredon, r.activatedon, CAST(r.activatedon AS DATE) AS activatedondate, CASE WHEN NOT r.activatedon IS NULL THEN ? ELSE ? END AS activations, CASE WHEN NOT hmcl.hottransferred IS NULL THEN ? ELSE ? END AS ht, CASE WHEN r.istopoff = ? THEN ? ELSE ? END AS topoffqueue, CASE WHEN r.addontypeid = ? THEN ? WHEN r.addontypeid = ? THEN ? WHEN r.addontypeid = ? THEN ? ELSE NULL END AS addontype, CASE WHEN r.addontypeid I ...","select * from ( SELECT DISTINCT r.ReferralID ,r.LeadID ,l.HMCProspectID ,hmcr.HMCRequestID ,l.ExternalIdentifier as YGL_Lead_ID ,r.ProviderID ,r.BillingTypeID ,ReferralStatusTypeID ,ReferredOn ,r.activatedon ,DATE(r.activatedon) AS ActivatedOnDate ,case when r.activatedon is not null then 1 else 0 e ..."
42,"WITH cte AS (SELECT hmcr.hmcrequestid, hmcr.hmcprospectid, postalcode, CASE WHEN hmcr.customflow = ? THEN ? ELSE ? END AS funnel, hmcr.createdate, hmcr.requeststatusid, hmcr.requeststatuscode, CASE WHEN hmcr.affiliateid IN (?) THEN ? WHEN hmcr.affiliateid = ? THEN ? WHEN hmcr.affiliateid IN (?) THEN ? WHEN hmcr.affiliateid = ? THEN ? WHEN hmcr.affiliateid = ? THEN ? WHEN hmcr.affiliateid IN (?) THEN ? WHEN hmcr.affiliateid IN (?) THEN ? WHEN hmcr.url LIKE ? OR hmcr.url LIKE ? OR hmcr.url LIKE ? THEN ? WHEN hmcr.url LIKE ? OR hmcr.affiliateid = ? THEN ? WHEN hmcr.affiliateid IN (?) OR hmcr.url  ...","select `Time`, `SLRl`, `hmcrequestid`, `Funnel`, `createdate`, `RequestStatusId`, `AdjChannel`, `ScreeningDate`, `userid`, `outcomeid`, `ISDJ`, `DJStep`, `DJType`, `SourceP`, `C1`, `C2`, `C2` - `C1` as `C3` from ( select `Time`, `SLRl`, `hmcrequestid`, `Funnel`, `createdate`, `RequestStatusId`, `Adj ..."
42,"WITH cte AS (SELECT cph.providerid, cph.orderid, MIN(cph.date) AS firstactivedate, MAX(cph.date) AS lastactivedate FROM main.prod_homecare_acreporting_reporting.cartproviderhistory AS cph WHERE (cph.orderstatusreason = ? OR cph.orderstatus IN (?)) GROUP BY ?, ?), cte2 AS (SELECT cte.providerid, cte.orderid, cph.orderstatus, cph.orderstatusreason, firstactivedate, lastactivedate FROM cte LEFT JOIN main.prod_homecare_acreporting_reporting.cartproviderhistory AS cph ON cph.providerid = cte.providerid AND cph.orderid = cte.orderid WHERE cph.date = CAST(CURRENT_TIMESTAMP() AS DATE)), cte1 AS (SELEC ...","select * from ( WITH CTE1 AS( WITH CTE AS ( Select cph.providerid ,cph.orderid ,min(cph.date) FirstActiveDate ,max(cph.date) LastActiveDate FROM main.prod_homecare_acreporting_reporting.cartproviderhistory cph WHERE (cph.orderstatusreason = 'Monthly Cap Reached' or cph.orderstatus in ('Active', 'Pau ..."
42,"SELECT * FROM (SELECT sr.hmcscreeningresultid, sr.createdate, sr.outcomeid, sr.userid, req.createdate AS requestdate, sr.attemptcount, sr.secondsinprospect, sr.hmcrequestid, req.requeststatusid FROM prod_homecare_insite_directory.hmcscreeningresult AS sr JOIN prod_homecare_insite_directory.hmcrequest AS req ON req.hmcrequestid = sr.hmcrequestid WHERE NOT sr.outcomeid IN (?) AND req.createdate >= DATE_ADD(YEAR, -?, DATE_TRUNC('MONTH', CURRENT_TIMESTAMP())) AND req.hmcrequestid <> ?) AS _ WHERE ? = ?","select * from ( SELECT sr.HMCScreeningResultID -- ,sr.HMCProspectID ,sr.createdate ,sr.outcomeid ,sr.userid ,req.createdate as RequestDate ,sr.AttemptCount -- ,sr.FollowUpDate -- ,sr.HotTransferred ,sr.SecondsInProspect ,sr.HMCRequestID ,req.requeststatusid -- ,req.affiliateid FROM prod_homecare_ins ..."
40,"WITH cte AS (SELECT cph.providerid, cph.orderid, cph.providername, o.createdon AS ordercreatedate, MIN(date) AS firstactivedate, MAX(date) AS lastactivedate, ost.name AS currentorderstatus, osrt.name AS currentorderstatusreasontype FROM prod_homecare_acreporting_reporting.cartproviderhistory AS cph LEFT JOIN prod_homecare_actransactional_ordermanagement.order AS o ON o.orderid = cph.orderid LEFT JOIN prod_homecare_actransactional_ordermanagement.orderstatustype AS ost ON ost.orderstatustypeid = o.orderstatustypeid LEFT JOIN prod_homecare_actransactional_ordermanagement.orderstatusreasontype AS ...","select `ProviderID`, `OrderID`, `ProviderName`, cast(`OrderCreateDate` as DATE) as `C1`, `FirstActiveDate`, `LastActiveDate`, `CurrentOrderStatus`, `CurrentOrderStatusReasonType`, `CSMFixed` from ( WITH CTE(SELECT cph.ProviderID ,cph.OrderID ,cph.ProviderName ,o.createdon AS OrderCreateDate ,MIN(Dat ..."
40,"SELECT sr.hmcscreeningresultid, sr.createdate, sr.outcomeid, sr.userid, req.createdate AS requestdate, sr.attemptcount, sr.secondsinprospect, sr.hmcrequestid, req.requeststatusid FROM prod_homecare_insite_directory.hmcscreeningresult AS sr JOIN prod_homecare_insite_directory.hmcrequest AS req ON req.hmcrequestid = sr.hmcrequestid WHERE NOT sr.outcomeid IN (?) AND req.createdate >= DATE_ADD(YEAR, -?, DATE_TRUNC('MONTH', CURRENT_TIMESTAMP())) AND req.hmcrequestid <> ?","select `HMCScreeningResultID`, cast(`createdate` as DATE) as `C1`, `outcomeid`, `userid`, cast(`RequestDate` as DATE) as `C2`, `AttemptCount`, `SecondsInProspect`, `HMCRequestID`, `requeststatusid` from ( SELECT sr.HMCScreeningResultID -- ,sr.HMCProspectID ,sr.createdate ,sr.outcomeid ,sr.userid ,re ..."
40,"WITH cte1 AS (SELECT DISTINCT cph.providerid, cph.orderid, cph.accountid, cph.orderstatus, cph.orderstatusreason FROM main.prod_homecare_acreporting_reporting.cartproviderhistory AS cph WHERE cph.date = CAST(CURRENT_TIMESTAMP() AS DATE)), cte AS (SELECT DISTINCT a.accountid, a.name AS accountname, ast.name AS accountstatus, a.iscorporateaccount, o.orderid, o.name AS ordername, CASE WHEN cte1.orderstatus IS NULL THEN ost.name ELSE cte1.orderstatus END AS orderstatus, CASE WHEN cte1.orderstatusreason IS NULL THEN osrt.name ELSE cte1.orderstatusreason END AS orderreason, CASE WHEN LOWER(o.name) L ...","select * from ( WITH CTE AS( WITH CTE1 AS( Select DISTINCT cph.providerid ,cph.orderid ,cph.accountid ,cph.orderstatus ,cph.orderstatusreason FROM main.prod_homecare_acreporting_reporting.cartproviderhistory cph WHERE cph.date = date(getdate()) ) SELECT distinct a.accountid ,a.name AccountName ,ast. ..."
40,"WITH cte AS (SELECT hmcr.hmcrequestid, hmcr.hmcprospectid, postalcode, CASE WHEN hmcr.customflow = ? THEN ? ELSE ? END AS funnel, hmcr.createdate, hmcr.requeststatusid, hmcr.requeststatuscode, CASE WHEN hmcr.affiliateid = ? THEN ? WHEN hmcr.affiliateid = ? THEN ? WHEN hmcr.affiliateid IN (?) THEN ? WHEN hmcr.affiliateid = ? THEN ? WHEN hmcr.affiliateid = ? THEN ? WHEN hmcr.affiliateid IN (?) THEN ? WHEN hmcr.affiliateid IN (?) THEN ? WHEN hmcr.url LIKE ? OR hmcr.url LIKE ? OR hmcr.url LIKE ? THEN ? WHEN hmcr.url LIKE ? OR hmcr.affiliateid = ? THEN ? WHEN hmcr.affiliateid IN (?) OR hmcr.url LIK ...","select * from ( WITH CTE2 AS ( WITH CTE1 AS ( WITH CTE AS ( SELECT hmcr.hmcrequestid ,hmcr.hmcprospectid ,postalcode ,CASE WHEN hmcr.customflow = 1 THEN 'NFE' ELSE 'OFE' END as Funnel ,hmcr.createdate ,HMCR.RequestStatusId ,hmcr.requeststatuscode ,CASE WHEN hmcr.affiliateid =140 then ""Grace"" WHEN hm ..."
38,"WITH cte AS (SELECT DISTINCT hmcr.hmcrequestid, hmcr.hmcprospectid, hmcr.postalcode, hmcr.affiliateid, hmcr.affiliateinquiryid, apfm.lt_form_submit_channel, CASE WHEN hmcr.customflow = ? THEN ? ELSE ? END AS flow, CASE WHEN hmcr.affiliateid IN (?) THEN ? WHEN hmcr.affiliateid = ? THEN ? WHEN hmcr.affiliateid IN (?) THEN ? WHEN hmcr.affiliateid = ? THEN ? WHEN hmcr.affiliateid = ? THEN ? WHEN hmcr.affiliateid IN (?) THEN ? WHEN hmcr.affiliateid IN (?) THEN ? WHEN hmcr.url LIKE ? OR hmcr.url LIKE ? OR hmcr.url LIKE ? THEN ? WHEN hmcr.url LIKE ? OR hmcr.affiliateid = ? THEN ? WHEN hmcr.affiliatei ...","select * from ( WITH CTE3 AS (WITH CTE2 AS (WITH CTE AS (SELECT distinct hmcr.HMCRequestID ,hmcr.HMCProspectID ,hmcr.postalcode ,hmcr.affiliateid ,hmcr.affiliateinquiryid ,apfm.lt_form_submit_channel ,CASE WHEN hmcr.customflow =1 then 'NFE' ELSE 'OFE' END as Flow ,CASE WHEN hmcr.affiliateid in (140, ..."
